favorite,underdog,spread,favorite_win_prob,underdog_win_prob,favorite_ev,is_3pt_underdog,underdog_ev,pick,actual_winner
PHI,DAL,8.5,0.7596813767445917,0.24031862325540831,0.7596813767445917,True,0.7209558697662249,PHI,PHI
KC,LAC,3.0,0.7734528650286949,0.22654713497130508,0.7734528650286949,False,0.45309426994261015,KC,LAC
TB,ATL,1.5,0.5783162879591934,0.42168371204080657,0.5783162879591934,False,0.8433674240816131,ATL,TB
CIN,CLE,5.5,0.7472925445009795,0.2527074554990205,0.7472925445009795,False,0.505414910998041,CIN,CIN
IND,MIA,1.5,0.5626210141210721,0.4373789858789279,0.5626210141210721,False,0.8747579717578557,MIA,IND
JAX,CAR,4.5,0.6108627644847175,0.38913723551528245,0.6108627644847175,False,0.7782744710305649,CAR,JAX
NE,LV,2.5,0.5698028785630449,0.4301971214369551,0.5698028785630449,False,0.8603942428739102,LV,LV
ARI,NO,6.0,0.6945784345286039,0.3054215654713961,0.6945784345286039,False,0.6108431309427922,ARI,ARI
PIT,NYJ,3.0,0.6220268758987948,0.3779731241012052,0.6220268758987948,False,0.7559462482024104,NYJ,PIT
WAS,NYG,6.0,0.6484473051304722,0.3515526948695278,0.6484473051304722,False,0.7031053897390556,NYG,WAS
DEN,TEN,8.5,0.7580682728379151,0.2419317271620849,0.7580682728379151,True,0.7257951814862547,DEN,DEN
SF,SEA,2.5,0.6088773086151138,0.3911226913848862,0.6088773086151138,False,0.7822453827697724,SEA,SF
GB,DET,1.5,0.49132359455723595,0.508676405442764,0.49132359455723595,False,1.017352810885528,DET,GB
LA,HOU,3.5,0.5475947972462392,0.45240520275376084,0.5475947972462392,False,0.9048104055075217,HOU,LA
BAL,BUF,1.5,0.4964295121027066,0.5035704878972934,0.4964295121027066,False,1.0071409757945868,BUF,BUF
MIN,CHI,1.5,0.5516302472313195,0.4483697527686805,0.5516302472313195,False,0.896739505537361,CHI,MIN
GB,WAS,3.5,0.6237874060675834,0.3762125939324166,0.6237874060675834,False,0.7524251878648331,WAS,GB
BAL,CLE,12.5,0.8480441021113778,0.15195589788862218,0.8480441021113778,True,0.45586769366586655,BAL,BAL
CIN,JAX,3.5,0.6103959015180029,0.38960409848199706,0.6103959015180029,False,0.7792081969639941,JAX,CIN
DAL,NYG,4.5,0.5287958106957559,0.4712041893042441,0.5287958106957559,False,0.9424083786084883,NYG,DAL
DET,CHI,6.0,0.6770708441427538,0.32292915585724624,0.6770708441427538,False,0.6458583117144925,DET,DET
MIA,NE,1.5,0.47742273273115904,0.5225772672688409,0.47742273273115904,False,1.0451545345376818,NE,NE
